brand,year,total_stores,new_open,terminate,cancel,transfer,avg_sales,area_sales
금뿔이구집,0,0,0,0,0,0,1,0
크로플덕오리아가씨,2023,68,26,0,28,9,101089,10620
착한쭝식,0,0,0,0,0,0,387223,17470
동해강릉초당짬뽕순두부,2023,12,8,0,0,0,241409,9026
퐁닭,2021,0,0,0,0,0,14992,1008
커피셀러,2019,3,3,0,0,0,0,0
맥주활력수,2019,8,5,0,0,0,275745,10655
호토모토(HottoMotto),0,0,0,0,0,0,135392,9598
닥터맘산모도우미,2023,24,2,2,1,0,320105,0
태극안경콘택트,2018,11,1,3,11,2019,383781,8640
한강텐트대여 피크닉109,0,0,0,0,0,0,21638,738
자담인,2023,10,0,3,0,0,21503,1336
바다향왕코다리,0,0,0,0,0,0,685053,34081
홉슈크림,2023,1,0,0,1,0,116141,16562
무꼬뭐꼬떡볶이,0,0,0,0,0,0,47172,3312
빅원치킨,0,0,0,0,0,0,107780,8698
헤이스쿨스,2019,4,4,0,0,0,0,0
카페텀블러,2019,9,7,0,1,0,0,0
OCIC네호호감자탕,0,0,0,0,0,0,2,1
곰미커피,0,0,0,0,0,0,3,1
한빵울,2021,5,4,0,1,0,66446,4921
DON돈까츠,2019,6,1,0,0,0,203350,14789
홍익스테이크,0,0,0,0,0,0,163810,14226
옥토넛 키즈풀,2023,6,6,0,0,0,102793,2803
포차썸데이,0,0,0,0,0,0,2,0
아리아리닭강정,2019,17,3,0,5,0,46324,6827
홍익궁중전통육개장,0,0,0,0,0,0,294904,6886
중고폰 브라더스,0,0,0,0,0,0,35774,4099
엠팸,2019,9,4,0,0,0,0,0
탕쓱잘튀기는집,0,0,0,0,0,0,32958,2464
닭에꼬치닭,0,0,0,0,0,0,124556,2488
고수의 운전면허,2023,72,14,3,6,4,66,93621
메고지고,0,0,0,0,0,0,72685,4704
치킨갱스터,0,0,0,0,0,0,103496,5816
치킨쥼,0,0,0,0,0,0,88247,4541
안남순 제육찌개,2021,13,13,0,0,0,0,0
삼미대포,2023,4,0,0,1,0,669160,20911
수향그릴면가여름도겨울,0,0,0,0,0,0,4,3
토스토어,0,0,0,0,0,0,1,0
락꼬꼬,2015,8,1,2,2016,2,27432,1253
밥FULL,2018,29,16,1,0,0,148977,13656
프랭크서울,2019,38,6,0,7,1,49,0
88켄터키치킨&떡볶이,2022,46,0,0,9,5,55,0
블랙슈가,2021,0,0,0,0,0,1,1
더앨리(THE ALLEY),0,0,0,0,0,0,109385,4359
포항황소곱창,2019,8,8,0,0,0,327105,13084
쏘핫 마라탕 마라샹궈,2023,12,2,3,2,0,257079,13862
바비큐BOX,2019,8,0,0,0,0,52540,3740
애니데이,2018,5,0,0,4,0,9,5
동성로매콩돈까스와 냉면,2018,9,1,0,2,0,284699,14984
스시한판,2023,2,0,2,0,0,894397,61114
카페글렌,2020,68,3,0,15,6,69424,2952
맹스숯불치킨,2019,2,1,2,0,0,0,0
열정담은 국물집,2019,13,9,0,0,0,155694,7081
가마깨비,0,0,0,0,0,0,2,0
혼삼,2023,12,2,0,1,0,269855,15669
마신떡볶이,2023,3,0,0,0,0,8,1
팔공냉면,0,0,0,0,0,0,371604,36067
젠틀루뉴욕,2019,5,4,0,0,0,0,0
대만샌드위치 티앙웨이,2021,4,0,0,12,0,0,0
가츠몽,0,0,0,0,0,0,4,211704
레드애플,2023,9,6,4,0,0,157910,8623
아구찜 휘날리며,2023,3,1,0,7,1,0,0
딸기가좋아,2020,1,0,0,1,0,2,9
삼꾸미집,0,0,0,0,0,0,2,1
경성일번가,0,0,0,0,0,0,20,0
투다리,2023,1349,59,9,79,114,177995,11535
부곡하와이,2021,1,1,0,0,0,0,0
고래냉면1980,2023,17,7,0,2,0,223193,12359
진도리 닭도리탕,0,0,0,0,0,0,11,0
전준수명품청기와감자탕,2023,22,0,0,0,0,668936,18948
푸른바다찜탕,0,0,0,0,0,0,265139,14235
강순자옛맛김치찌개,2023,45,15,7,1,1,319818,21003
ALI★TOGO★STAR(알리투고스타)커피,2023,1,1,0,0,0,0,0
소도둑,2019,31,13,0,5,0,620407,13026
연꽃치,0,0,0,0,0,0,409964,19055
몬나니떡볶이,2019,7,0,4,4,0,123640,7754
김밥천국,0,0,0,0,0,0,52,0
카페야(Cafe Yah),2021,1,1,0,0,0,0,0
조선밥도둑,2021,1,1,0,0,0,0,0
LQL터쿼이즈(TURQUOISE),0,0,0,0,0,0,1,0
하다,2019,1,0,0,1,0,3,0
애니필라,2019,2,2,0,0,0,0,0
효자막창,2019,13,7,0,1,0,348061,12326
묵향,0,0,0,0,0,0,156739,7836
약초마을,0,0,0,0,0,0,601328,5619
싱싱난리부르스 5000냥,2018,16,0,2,1,1,138526,3179
오술차,2023,17,2,4,1,1,23,9
텐바이텐,0,0,0,0,0,0,291718,12186
불위에서노는닭,0,0,0,0,0,0,1,1
명장복집&amp;24시명장복국,0,0,0,0,0,0,413800,4926
더쿠네오리바베큐,2021,3,1,0,1,0,0,0
홍초불닭발&막창,2023,8,12,0,7,1,110410,0
국제쭈꾸미1981,2021,1,0,0,0,0,234385,8878
불로만치킨바베큐,0,0,0,0,0,0,80260,3792
친정,2019,1,1,0,0,0,0,0
쏘핫 마라탕 마라샹궈,2023,12,2,3,2,0,257079,13862
수파두파,2018,5,1,0,0,1,0,0
대패상회,2023,21,21,0,0,1,236685,7312
시아북카페,2023,3,0,2,3,0,0,0
마시내 나홀로짜장,0,0,0,0,0,0,20,0
김장하는 고깃집 향산리,2021,0,0,0,0,0,5,0
명랑회관,2022,2,0,1,0,0,3,1
도톰카츠,0,0,0,0,0,0,165214,11230
YBM리딩클럽,2020,747,23,0,5,2,7465,856
리메이드,0,0,0,0,0,0,8165,652
혼삼,2023,12,2,0,1,0,269855,15669
희귀한족발,2019,34,34,0,0,0,19105,0
뚱뚱이할머니족발보쌈,0,0,0,0,0,0,34449,2703
막돼먹은막창,2018,5,0,0,1,0,25,9637
?팔이(TOM82),0,0,0,0,0,0,540424,8578
무국식탁편백집,2023,3,0,1,0,0,4,11
헬로우컷,2023,49,4,2,1,1,43,0
착한막창,0,0,0,0,0,0,274634,4930
순살치킨을잘튀기는집,2023,33,33,0,0,0,18628,1495
한강텐트대여 피크닉109,0,0,0,0,0,0,21638,738
과일팜,2023,2,2,1,0,0,134245,9944
가리본가,2019,2,2,0,0,0,0,2
도쿄팡야,0,0,0,0,0,0,258081,7959
명월카츠,0,0,0,0,0,0,183862,9606
one&amp;two깻잎두마리치킨 (원앤투깻잎두마리치킨),2017,18,18,0,0,0,11530,770
스팀맨,0,0,0,0,0,0,7836,368
진지덮밥&돈가스,0,0,0,0,0,0,154360,7782
개인화로 한우전문 미소,2018,1,0,0,0,0,0,0
과일팜,2023,2,2,1,0,0,134245,9944
헌터스문,0,0,0,0,0,0,341287,5963
프레리 키즈카페,2019,3,0,0,0,0,157337,1453
회덮밥전문점인마루,2018,24,0,2,5,0,148121,7989
세겹뚱이,2019,5,5,0,0,0,0,0
맛없으면 환불해주는 김치찜,2023,16,16,0,0,0,70307,7037
color room(컬러룸),2022,1,1,1,2023,1,1,2
바른찌개밀키트,0,0,0,0,0,0,4,671
수원왕갈비통닭,2023,10,3,3,22,0,84057,7759
백마크리닝R,2019,54,54,0,0,0,47044,3881
윤이불닭발,2021,64,59,0,0,0,283300,16621
라라라서프,0,0,0,0,0,0,257972,22402
이마트에브리데이,2023,2,7,4,5,0,3,1
광안천지식당,2021,6,6,0,0,0,397080,25172
도쿄이찌바,2023,17,0,2,0,0,564878,24394
공씨네주먹밥,0,0,0,0,0,0,25053,2138
김봉남포장마차,2023,8,0,0,1,0,301973,12232
고기;자리,0,0,0,0,0,0,1,1
조선육개장38,0,0,0,0,0,0,2,1
대장부,0,0,0,0,0,0,451899,13990
묵소,2019,4,0,1,0,0,3,0
짬뽕순두부,0,0,0,0,0,0,20559,565
호수꼬치,2021,25,7,0,8,1,139001,8453
브리즈번버거앤비어,2023,1,1,0,0,0,0,1
자담인,2023,10,0,3,0,0,21503,1336
악마의비빔밥비빌,2023,26,17,0,0,0,195590,11603
육터닭,2021,4,4,0,0,0,192292,10551
굽는치킨,0,0,0,0,0,0,62398,5148
순수치킨,0,0,0,0,0,0,227888,15556
하다,2020,1,0,0,0,1,2,0
Uber Taxi (우버택시),2023,7427,4316,0,39,0,18766,0
코코리,2019,1,1,0,0,0,0,0
꼭그닭치킨,0,0,0,0,0,0,506057,7324
알리바바(ALIBABA),2023,27,1,2,10,2,60,0
NE능률 주니어랩,2020,592,34,3,43,4,2085,93
키즈베베,2023,12,5,7,0,2,135114,10452
이동근선산뒷고기,2019,8,2,0,2,0,281250,6250
꾸이덮밥잘하는집,2023,43,43,0,0,0,12317,985
맛쭈서해쭈꾸미,2018,11,0,0,3,0,280223,6822
뿌기떡볶이,2021,2,2,0,0,0,0,0
아구신랑콩나물색시,0,0,0,0,0,0,2,1
3분마트,2023,8,5,0,3,0,30155,3015
진고래아구찜해물찜,2023,8,0,6,4,0,104875,4687
젓가락 스테이크 굽다,2019,1,0,0,1,0,3,3
보일링몬스터,0,0,0,0,0,0,3,1
리얼디(Real D),2018,0,0,0,0,0,1,2
퍼스트플로어,2019,4,3,2020,3,1,184734,2129
필랜드 예술원,2019,4,1,0,0,1,0,0
재능스스로러닝센터,2020,60,4,10,0,3,18,51
렌즈나인(LENS NINE),0,0,0,0,0,0,200039,19764
고기플렉스,2023,13,13,0,0,0,104832,6011
젠틀루뉴욕,2020,5,1,0,0,0,284873,9262
갓츠킹,2023,48,6,0,29,1,60094,5340
카툰공감,2019,6,0,0,3,0,106041,1619
홍담동홍게우동집,2021,3,1,0,6,0,6,0
더볶이,2021,1,1,0,0,0,0,0
오오샵,2023,7,0,0,0,0,119716,3689
미트락,2019,1,0,0,0,0,0,0
골든스터디카페,2021,10,0,0,0,1,5,1
토고리 옛날막창,2023,26,3,0,4,3,223781,9620
플라이번지 피트니스,2021,8,8,0,0,0,196635,2834
비즈위즈공유오피스,0,0,0,0,0,0,2,2
마이쥬스,2023,6,0,0,1,0,178096,9572
바다생협,0,0,0,0,0,0,5,0
짐승파스타,2019,0,0,0,0,0,1,1
타코로,2023,9,9,0,0,0,0,0
곱창파이터,2019,15,8,0,5,0,171467,7751
수학여우,0,0,0,0,0,0,16455,437
아이스헌터,2023,36,37,0,1,0,154030,15196
홍희통닭,2023,38,12,0,2,0,25,0
낚시꾼 김춘복의 도시어부,0,0,0,0,0,0,867854,46247
아리아(ARIA)센터,2023,11,2,0,6,1,195893,3269
해쉬커피,2023,18,4,0,0,0,252020,18582
폰스타일,2019,16,1,7,0,4,89085,14694
지니위니,0,0,0,0,0,0,7,0
더샘(the SAEM),2023,42,2,8,0,2,306045,28474
