brand,category,stores_22,stores_23,diff,avg_sales,area_sales,total_invest
어반테니스 (URBAN TENNIS),스포츠,5,5,0,0,0,0
탭플레이(TAPLAY),커피,4,4,0,0,0,23650
제임스치즈등갈비,한식,6,4,-2,0,0,26400
더푸짐한상,기타외식,1,2,1,0,0,16500
더플롯커피(THE PLOT COFFEE),커피,5,4,-1,0,0,27500
육마니 옛날전통육개장,한식,1,1,0,0,0,45201400019
쿡쿡쿡(CookCookCook),기타도소매,0,3,3,0,0,16500
맥스피드PC,(주요상품),14,13,-1,0,0,66000
밥스테이크,(,1,0,-1,0,0,0
마호가니,(,9,9,0,0,0,0
마케집,일식,12,14,2,730948,23277,75000
신복관,(주요,1,3,2,0,0,45000
라비앙르로즈(LA VIE ENR ROSE),(,2,2,0,0,0,0
쭈꾸밍,한식,4,3,-1,0,0,15000
과일을 담다,기타,3,3,0,0,0,13200
위스키브라더스,주점,1,2,1,265880,6922,69000
